formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
Ba2PrF7-mp-676002,P1,2.9969,4.9616,6.2183
Sr3TeO6-mp-768907,R3,2.9752,5.1799,3.077
LiTa2CuO6-mp-755367,R32,2.9638,7.8577,0.883
HfZnN2-mp-1014251,P3m1,2.9404,9.1897,2.2797
TiNiO3-mp-850194,R3c,2.9369,4.9322,2.5916
BaYF5-mp-754920,P2_1,2.9144,4.6421,6.6196
WOF4-mp-752955,I4,2.8965,4.5295,4.4119
VOF3-mp-760367,C2,2.8867,2.9833,2.651
Ag2S-mp-560025,P2_1,2.8696,6.4565,0.4016
Sc(AlC)3-mp-568400,P6_3mc,2.8551,3.2686,0.1196
Ca2YSnO5-mvc-6291,P1,2.8403,4.3836,2.4928
SrS3-mp-1175,Aea2,2.8334,2.9603,1.2876
Li3CrO4-mp-850964,Cmc2_1,2.8013,2.9955,1.304
NbHO3-mp-33932,P1,2.7525,3.9962,2.6175
RePbClO4-mp-560625,Pmn2_1,2.7508,6.2369,3.3721
Ba4Nb2WO12-mp-1228131,R3m,2.75,6.4763,2.7513
VPbO3-mp-20032,P4mm,2.7481,6.9819,1.5
NbFeO4-mp-755390,I-4m2,2.7283,4.5717,1.0961
ZrO2-mp-556605,Pca2_1,2.7177,5.7787,3.7114
Mg2PN3-mp-3933,Cmc2_1,2.7105,3.0455,3.5372
P(HO)3-mp-625254,Pc,2.7104,1.7048,4.1597
LiV(TeO4)3-mp-761280,P1,2.7103,5.3595,1.4003
ZrPbO3-mp-20337,Amm2,2.7071,7.5335,3.2477
H7ClO3-mp-625171,P1,2.6864,1.3867,4.2299
Ca3TaGa3(SiO7)2-mp-6853,P321,2.6791,4.4715,3.9121
Li2MnWO6-mp-776740,R3,2.6757,5.7922,1.1271
Ca2TaWO6-mvc-5962,R3,2.6749,6.8989,2.3112
YFe(WO4)2-mp-1305502,P1,2.6741,6.607,2.455
NaScAs2O7-mp-550925,C2,2.6701,3.6462,3.46
Ta2SnO6-mp-556489,Cc,2.6618,7.9402,2.3734
HF-mp-632296,Cmc2_1,2.6541,1.7215,6.7187
Ba3Ti3(BO6)2-mp-11772,P-62m,2.6427,4.839,2.1529
Cr2AgBiO8-mp-559885,I-4,2.6181,5.8344,1.5209
HfO2-mp-685097,Pca2_1,2.6119,10.3742,4.3858
LiMn(PO3)4-mp-26783,P2_1,2.6025,2.4155,1.779
Na4CO4-mp-545541,Cm,2.601,2.0142,1.5692
Sr(ClO3)2-mp-28477,Fdd2,2.5922,2.9688,5.2794
GaPO4-mp-553932,C222_1,2.592,3.1177,4.448
LiMoIO6-mp-558917,P2_1,2.5818,4.1576,2.1826
Li2CrO3-mp-770192,Cc,2.5665,3.653,0.4488
NbAsO4-mp-770219,Pna2_1,2.5435,4.5224,2.6584
Zr3GeO8-mp-27888,I-42m,2.5189,5.7584,3.9783
Te4Mo3WS4-mp-1027436,P3m1,2.5183,4.917,0.293
Rb2Na(NO3)3-mp-1020630,Pmc2_1,2.5155,2.5849,3.0146
LiMnO2-mp-755562,Cc,2.5089,3.9861,0.9006
Ca2FeWO6-mp-1276937,R3,2.5068,5.474,2.2019
MgO-mp-549706,P6_3mc,2.5051,2.7575,3.2865
K2O-mp-776081,P2_1,2.5012,2.366,1.7501
BaYF5-mp-777233,P2_1,2.4917,4.4141,6.6724
NaHO-mp-625996,Pm,2.4835,1.9398,2.9046
AlReSi-mp-1228809,I4mm,2.4831,9.7038,0.2931
ScHO2-mp-625199,P1,2.4727,2.8184,4.4681
Ca2MnWO6-mvc-12168,P1,2.4456,5.3376,2.5804
AlHO2-mp-23807,Pmn2_1,2.4403,3.4235,6.0892
LiMnPO4-mp-753207,Cc,2.4275,2.7475,3.2618
NbBiO4-mp-863076,C2,2.4225,6.1853,2.4174
RbSbMoO6-mp-1219606,Ima2,2.4132,4.6672,2.4779
Sm2AlNO3-mp-1025276,I4mm,2.4043,7.6229,1.3154
La3MnGaS7-mp-504891,P6_3,2.3857,4.5882,0.4504
CrPO5-mvc-3271,Cc,2.3761,3.0306,1.3007
TiSnO4-mp-773864,I-4m2,2.3754,4.8795,2.2698
Nb2O5-mp-10426,C2,2.3652,5.2985,1.8948
LiBiP2O7-mp-759568,C2,2.3645,4.4242,3.8072
LiNbWO6-mp-32244,P-42_1m,2.3611,5.8637,2.4802
Mg3MoN4-mp-1245510,Pmn2_1,2.3522,3.5558,2.9833
CrN2-mp-1016063,P1,2.3495,2.6371,0.1569
Na3Mo2N5-mp-1029845,I4_1,2.3436,3.427,1.9299
Zn3MoN4-mp-1246430,Pmn2_1,2.3392,5.764,2.1146
LaTaO4-mp-3998,Cmc2_1,2.3336,7.5535,3.4177
Tl9SbTe6-mp-34292,I4,2.3329,8.3606,0.631
Li2VOF3-mp-850895,Pc,2.3188,3.0534,1.6824
NbFeSb-mp-9437,F-43m,2.3184,8.4487,0.743
VMoO5-mp-674948,Cm,2.313,4.178,1.0581
CrTe(WO6)2-mp-756075,P1,2.308,6.0557,1.6578
Tb2CdS4-mp-34376,I-42d,2.3021,6.1817,1.8691
AlAgS2-mp-7885,P3m1,2.2922,4.4129,1.7128
Ag8GeTe6-mp-676799,P1,2.2851,6.849,0.0742
Li4MoO5-mp-675020,I4,2.2777,3.6341,2.8527
CaAlH5-mp-583071,P2_12_12_1,2.2754,1.803,3.3422
TiZn(BiO3)2-mp-550998,P4mm,2.2691,7.4204,1.8587
GaHO2-mp-23803,Pmn2_1,2.252,5.185,3.0069
Li2VCrO4-mp-755278,I-4m2,2.24,4.0879,0.7605
AlHO2-mp-625075,P1,2.2335,2.7402,4.4378
Ca4Sb2S-mp-35269,I-42d,2.2203,3.6068,1.0814
Zn3WN4-mp-1245967,Pmn2_1,2.2198,7.1746,2.4556
Mn6O7F5-mp-755080,P1,2.2188,4.387,0.0552
Ca2MnWO6-mp-1272954,R3,2.2081,5.3336,2.6787
Zn(HO)2-mp-625488,C2,2.1985,3.9226,2.5046
Li4VF8-mp-753340,P2,2.194,2.4911,1.9347
Li3YbPCO7-mp-772754,P2_1,2.1797,4.0412,5.0103
CaNdTiMnO6-mp-41742,Pc,2.1773,5.3529,0.2405
LiGePCO7-mp-768164,P2_1,2.1699,2.8705,3.7899
CaTlF3-mp-998615,R3c,2.1685,5.4345,4.6512
SnPSe3-mp-570370,Pc,2.1643,4.6999,1.433
SrSi7N10-mp-570598,Pc,2.1549,3.2417,3.8932
Ag2GePbS4-mp-861942,Ama2,2.1485,5.5358,1.7318
V2Te2O9-mp-556295,Fdd2,2.1472,4.5599,2.4033
VSbRu-mp-31455,F-43m,2.1454,8.2336,0.2741
NbI3O-mp-546285,C2,2.1366,4.6348,0.8325
SiO2-mp-557118,C222_1,2.1348,2.3223,5.8781
NaNbSe2O7-mp-1190450,Cmc2_1,2.1266,3.832,2.9089
Hf2N2O-mp-754833,P1,2.1185,11.2196,1.0658
AlPO4-mp-4051,C222_1,2.1131,2.1513,5.4799
LiV(PO4)2-mp-26416,P2_1,2.1113,2.8435,1.0805
HgB4O7-mp-12022,Pmn2_1,2.0952,5.7821,2.0533
NaNb6O15F-mp-8084,Amm2,2.0922,4.4845,1.5843
Sr4LiCu(CO5)2-mp-753353,I-42m,2.0778,4.355,1.0404
Mg2ZnN2-mp-1029265,P-43m,2.067,1.1433,0.1153
CsNdNb2O7-mp-554929,Pmc2_1,2.0522,5.437,2.3986
SmTaO4-mp-768230,Cmc2_1,2.0473,8.0251,3.4987
HBr-mp-32684,P2_12_12_1,2.0432,2.4359,4.9181
BiB2O4F-mp-558753,P3_2,2.0395,5.9881,4.2283
V2OF7-mp-765500,Cm,2.0377,2.6223,2.4732
TaAsO4-mp-754840,Pc,2.0026,6.6207,2.8095
TiZn(BiO3)2-mp-550469,P4mm,1.9927,7.3126,1.0249
Nd2AlNO3-mp-546679,I4mm,1.9924,7.1352,1.1106
KZrTl2OF5-mp-40204,I4mm,1.9891,5.3924,3.3652
CrN2-mp-1015567,P2,1.9859,3.0486,0.2272
BCl(OF2)2-mp-754459,Cc,1.9857,2.2175,1.7876
RbLaSi(CN2)4-mp-568228,I-4,1.9847,2.6528,3.8911
CrOF3-mp-31703,P4_1,1.9751,3.2024,2.2005
CdGeN2-mp-1245535,Pna2_1,1.972,6.516,0.949
TlF-mp-558134,Aem2,1.971,7.9219,3.0179
TmBO3-mp-760484,Ama2,1.9694,6.5004,4.5068
LiTeO3-mp-755231,Pnn2,1.9687,4.8919,2.1355
InSnBr3-mp-998555,R3c,1.9578,4.0039,1.7534
V2MoO8-mp-546989,Cmm2,1.9532,3.4696,1.3696
Mg2VN3-mp-1029368,Cmc2_1,1.9496,3.1797,1.8392
Zn2PN3-mp-1102523,Cmc2_1,1.9395,5.237,2.6001
Na3CoO3-mp-755811,P2_13,1.9373,2.7508,1.8322
LiSnPO4-mp-765289,Pna2_1,1.9252,3.474,3.2899
Li2VCr3O8-mp-771964,P6_3mc,1.9164,4.0736,0.7858
TiI2O7-mp-1205304,Cmc2_1,1.9145,4.3222,2.6437
ScAlCO-mp-1080747,P6_3mc,1.9114,3.5163,1.2548
Zr4MnO9-mp-763464,P1,1.9103,5.4296,2.9559
Li3V2O6-mp-762268,P1,1.8995,3.3931,1.2497
K4MoO8-mp-705676,P1,1.8944,2.4403,0.5756
YbB4O7-mp-752484,Pmn2_1,1.884,5.5531,7.0014
CaCO3-mp-548403,C222_1,1.8751,3.1733,5.7446
Mg(SbO3)2-mvc-1621,Pmn2_1,1.8711,5.6337,1.5252
BaMgF4-mp-14568,Cmc2_1,1.8695,4.2951,6.9487
LiNiO2-mp-25316,Imm2,1.8655,3.6023,0.5773
InSnCl3-mp-998560,Cm,1.856,3.042,2.4702
LiCrP2O7-mp-27035,C2,1.8451,3.3163,2.8414
ZnSiN2-mp-1020712,Pna2_1,1.8447,4.767,3.2383
Ho3CuGeS7-mp-555509,P6_3,1.836,5.824,1.8178
VOF2-mp-777999,Cc,1.8318,3.3124,1.7872
SnS-mp-8781,Aem2,1.8294,2.5717,1.5319
Ca(PIr)2-mp-11168,P3_221,1.814,8.8536,0.5198
LiMnPO4-mp-757204,Pna2_1,1.8091,3.2311,3.0053
Mg2SnWO6-mvc-5921,P1,1.8091,5.1851,2.2892
Li2CoSi3O8-mp-753262,P2_1,1.8089,2.6426,3.1507
SrTaNO2-mp-849636,C2,1.8068,7.7705,0.912
K3NbO8-mp-14175,I-42m,1.8061,2.9104,2.6518
Li6CrCoP2(CO7)2-mp-757130,Pm,1.8056,2.7824,1.2921
H3PbCI3NF3-mp-977011,Pm,1.804,4.0743,2.2214
NaBi(MoO4)2-mp-1210092,I-4,1.7993,5.5404,2.8815
LaN-mp-567290,P6_3mc,1.7989,5.7602,1.1489
LiNb(PO4)2-mp-673070,P2_1,1.7877,3.0339,2.2718
Li3ZrNb(TeO6)2-mp-754249,P1,1.7864,4.9418,1.9033
KTa(CuSe2)2-mp-6013,Ama2,1.7856,5.1073,1.7168
LiAlAs2O7-mp-547017,C2,1.7774,3.9525,3.0703
Re2H4O9-mp-625238,P2_1,1.7732,4.4591,2.6364
ErBO3-mp-760405,Ama2,1.7612,6.4055,4.5667
Te-mp-567313,P3_221,1.7606,6.0613,0.5789
Y3CuGeSe7-mp-17916,P6_3,1.7583,5.5696,1.2125
Li2CaGeO4-mp-7611,I-42m,1.7575,3.4818,4.3747
Na4CO4-mp-552623,R3,1.7573,2.6015,2.2476
Dy3CuGeSe7-mp-505558,P6_3,1.7566,6.918,1.1716
TeSeO4-mp-1539101,Ima2,1.7507,4.5116,3.208
CuHO2-mp-996956,Pmn2_1,1.7495,4.3683,0.606
Ta2CrNO5-mp-755234,Pc,1.7432,8.0395,1.4756
KNiPH2O5-mp-644129,Pmn2_1,1.7408,3.1281,3.3843
TmTaO4-mp-768176,Cmc2_1,1.7399,8.5806,3.5639
TaGaO4-mp-753378,Pnc2,1.7362,7.9059,3.3885
CsGeI3-mp-642690,Cm,1.7344,4.1573,2.1808
LuCuPbSe3-mp-865492,Cmc2_1,1.7319,7.9052,1.1208
TiFeTe-mp-961673,F-43m,1.7294,7.5443,1.1247
LiFeP2O7-mp-26181,C2,1.7245,3.263,2.5188
Li4CO4-mp-555256,Pmn2_1,1.7207,2.3601,6.0729
ClO3-mp-22869,Cc,1.7185,2.121,1.2097
HoBO3-mp-753056,Ama2,1.717,6.2696,4.5469
NaLi2MnPCO7-mp-755754,P2_1,1.7161,2.7492,3.6739
LiSb(PO3)4-mp-673126,P2_1,1.7139,3.0885,4.3892
CN2-mp-1009818,I-4m2,1.7133,3.6396,0.1567
BaBeSiO4-mp-550751,Cm,1.7117,4.0035,4.7692
YBO3-mp-760457,Ama2,1.7113,4.0468,4.599
SrWN3-mp-989625,P1,1.7103,7.0476,1.0807
NbRhO4-mp-756638,I4_1md,1.7103,6.1357,0.9258
LiMn(PO3)3-mp-753149,R3,1.7065,2.7813,4.3261
CaSnN2-mp-1029633,Pna2_1,1.6979,4.5687,1.3772
Te-mp-19,P3_121,1.6968,6.0484,0.5752
VZn2N3-mp-1029262,Cmc2_1,1.695,5.2185,1.3256
NaRuN-mp-1029313,P6_3mc,1.694,5.068,0.4637
BaNiF4-mp-555321,Cmc2_1,1.6903,4.9231,4.1829
CsSnF3-mp-998298,P1,1.6853,4.3524,3.3417
AlN-mp-661,P6_3mc,1.6757,3.2009,4.0536
Cs3Li2F5-mp-558728,Fmm2,1.6743,4.129,5.736
Li7Cr2O8-mp-757971,P1,1.6708,2.5273,0.5067
Ho3CuSiS7-mp-17486,P6_3,1.6704,5.6197,1.8321
