formula,space group,piezoelectric modulus (C/m^2),density (g/cm^3),band gap (eV)
Y3CuSnS7-mp-17747,P6_3,0.914,4.3083,1.6011
ZrSiPt-mp-961711,F-43m,0.9135,9.011,1.368
Li2ZnSnS4-mp-555186,Pc,0.9119,3.0753,2.2076
Nd3SiAgSe7-mp-17827,P6_3,0.9116,6.1063,1.5117
H8W3Se(NO6)2-mp-24599,P6_3,0.9102,4.8424,3.1188
CaF2-mp-560030,Pmc2_1,0.9094,2.9464,6.5079
Tb3CuSnSe7-mp-18126,P6_3,0.9091,6.7602,1.1413
Li2MnSiO4-mp-559240,Pmn2_1,0.9087,3.0502,2.2157
LiMnP(H6O5)2-mp-850407,Pmn2_1,0.9078,1.8822,4.0315
Cd2BiAsO6-mp-556653,Cmc2_1,0.9074,6.7425,2.0633
K3MnO4-mp-19140,I-42m,0.9069,2.5466,1.9861
NaSi2BH2O7-mp-867930,P2_1,0.9061,2.1371,3.9922
KLiZn3O4-mp-1223469,Cm,0.9054,4.3637,1.5201
KRb2ZrOF5-mp-39542,I4mm,0.9038,3.3807,4.7841
KTa(BO3)2-mp-555150,Pmn2_1,0.9032,3.9926,3.6292
Mn6O5F7-mp-780702,P1,0.9032,4.166,0.0542
Li6Br3N-mp-676650,Cm,0.9029,2.6823,2.0965
KNb(CuS2)2-mp-1106233,Ama2,0.9,3.3981,1.7834
La3CuGeSe7-mp-510011,P6_3,0.898,5.8669,1.278
BaCl2-mp-567680,P-62m,0.8979,3.793,4.5707
YOF-mp-38194,F-43m,0.8972,5.1103,5.6838
BN-mp-1639,F-43m,0.8968,3.4577,4.6482
Tl3PO4-mp-5709,P6_3,0.894,6.629,2.6408
CrAgS2-mp-4182,R3m,0.8925,5.0295,0.7568
LiSnPCO7-mp-768159,P2_1,0.8914,3.043,3.0135
Li2AlNiO4-mp-756603,Pc,0.8907,3.1729,1.9406
Li2MnSiO4-mp-768020,Pna2_1,0.89,3.0369,2.8232
Cu2O3-mp-760432,Fdd2,0.8884,5.5585,0.143
FeHO2-mp-626088,Cmc2_1,0.887,3.8435,1.7367
Ca2Sn3O8-mvc-7761,P6_3mc,0.8864,4.8876,2.0677
Al2Si2H4O9-mp-541152,P1,0.8859,2.5162,4.9351
CuCl-mp-22914,F-43m,0.8858,4.1653,0.8018
LiPN2-mp-3524,I-42d,0.8853,2.8744,4.0907
NaSb3F10-mp-27573,P6_3,0.8848,4.033,4.9964
Li2ZnGeO4-mp-8184,Pc,0.884,3.9491,3.1241
Li5VO3F2-mp-753535,Cm,0.8833,2.6003,1.6522
YWN3-mp-989617,Ama2,0.8817,6.9001,1.4991
Ag2HgSI2-mp-556866,Cmc2_1,0.8812,5.8742,1.2278
Li2ZnGeS4-mp-1210804,Pmn2_1,0.8772,2.8348,2.1847
SrLiP-mp-10614,P-6m2,0.8772,3.0637,0.9518
Y3Sb4Au3-mp-13654,I-43d,0.877,9.0292,0.5814
PbWO4-mp-703260,P1,0.875,7.9219,3.656
Ca2CdAs2-mp-1095180,Cmc2_1,0.8749,4.3851,0.853
HgSeO4-mp-10796,Pmn2_1,0.8733,6.3376,0.8511
Li2H2SO5-mp-23849,P2_1,0.8729,1.9734,5.5917
LiCoPO4-mp-766811,Cc,0.8719,2.4721,2.9385
Li2PNO2-mp-1020019,Cmc2_1,0.8692,2.5416,5.5966
Li2CoSiO4-mp-758637,P2_1,0.8674,3.1948,2.9331
Li2Ti3NiO8-mp-776015,R3m,0.8666,3.7813,2.2796
H7BrO3-mp-625583,P1,0.8655,1.9237,3.7349
NaCuO2-mp-754718,Cmc2_1,0.8648,3.4128,0.9315
AuCN-mp-29196,P6mm,0.8642,6.2365,2.1038
Ag2S-mp-38511,Pc,0.8623,6.563,0.2335
LiCoP2O7-mp-27043,C2,0.8622,3.3859,0.858
CdHClO-mp-644222,P6_3mc,0.8605,4.3499,2.4655
K2V3O8-mp-16787,P4bm,0.8605,2.6588,2.0485
Ti3H2O7-mp-626566,P1,0.8604,2.9666,2.7061
BaBe2Si2O7-mp-12797,Pmn2_1,0.8577,3.8687,5.57
LiHO-mp-625998,Aem2,0.8554,1.3765,4.022
Na3Li5Mn5O9-mp-765725,P1,0.8549,3.2448,0.5611
ZnAg2GeS4-mp-1215558,I-4,0.8547,4.5236,0.9342
CoO-mp-19128,P6_3mc,0.8545,5.0976,0.7067
BaMgO2-mp-756018,P3_121,0.8531,4.5616,3.1605
LiY3WO8-mp-759216,C222,0.8487,4.9044,2.7881
FeOF-mp-754764,Pm,0.847,4.2929,1.1384
Li4FeSb(WO6)2-mp-753494,P1,0.8469,6.0019,2.116
AcOF-mp-36526,F-43m,0.8455,8.1547,4.2844
BaLaMgRuO6-mp-39249,I-4,0.8407,6.3191,0.2476
SbO2F-mp-752561,Cc,0.838,5.4802,1.334
Te2SO7-mp-4906,Pmn2_1,0.8357,4.3059,3.2922
CrO3-mp-510421,Ama2,0.8356,2.398,2.3076
H2SO4-mp-625475,C2,0.8354,1.828,6.0941
SBr2O-mp-28407,Pca2_1,0.8339,2.568,2.7319
Na5WNO4-mp-558401,Cmc2_1,0.8334,3.976,3.0464
ZnAg2GeO4-mp-15144,Pc,0.8331,6.0087,0.2536
InCuGeS4-mp-1223929,I-4,0.8326,3.9271,1.1346
K4Nb8Si(P2O17)2-mp-14873,P-4m2,0.8272,3.4935,1.8861
Ba(FeO2)2-mp-19154,Cmc2_1,0.8271,4.5069,1.7453
Li4SiO4-mp-35822,P1,0.8269,2.2986,5.087
CaBPO5-mp-6667,P3_121,0.8263,3.05,5.3231
LiMnO2-mp-25542,Cm,0.8237,3.7293,1.7503
TlBrO3-mp-29798,R3m,0.8231,5.6292,3.659
BaTeW2O9-mp-18311,P2_1,0.8225,6.6641,3.467
Li3SbS4-mp-768269,Cc,0.82,2.6131,1.5049
Li2BeSiO4-mp-8070,Pc,0.8192,2.6332,6.115
RbPbF3-mp-1540546,R3c,0.8187,5.3065,1.7164
Li7TaO6-mp-28891,R3,0.8185,4.0452,4.4069
Li2MnO2F-mp-752464,Cc,0.8178,3.5642,0.7493
LiMnP2O7-mp-27031,C2,0.8161,3.2263,1.0861
Ca3ReN4-mp-1030245,P31c,0.8146,4.5639,0.0706
Co(HO)2-mp-625939,C2,0.8143,3.6127,2.445
Te2H2O3F4-mp-1191341,Fdd2,0.8128,4.2041,4.6234
BaLi2SiO4-mp-558310,P6_3cm,0.8126,3.8831,4.3898
Ba4Bi2O-mp-1228030,I4mm,0.8123,5.9808,0.6108
BC2N-mp-30148,P222_1,0.8121,3.419,2.1099
In2Cu2SiS6-mp-558055,Cc,0.811,4.1034,0.4584
P3N5-mp-1954,Imm2,0.8078,3.511,2.6467
Pr3SiAgSe7-mp-17389,P6_3,0.8073,5.9576,1.5042
Na2FeO3-mp-764074,Cc,0.8059,3.4005,1.8659
Cs2TeO3-mp-614803,P321,0.8057,4.3851,3.6403
Ca2SnS4-mp-866810,Ama2,0.8021,3.1163,2.4534
KZn4(SbO4)3-mp-863678,R3,0.8015,5.4546,2.1347
Be2BH3O5-mp-1227442,P1,0.8006,2.0024,5.6261
Ba4LiNb3O12-mp-18274,P6_3mc,0.8006,5.8567,2.5815
CuH6SO7-mp-707170,Cc,0.7999,2.5998,0.8113
ScNiP-mp-961675,F-43m,0.7993,4.8949,0.7107
Ba2SrI6-mp-760418,P-62m,0.7992,4.9791,2.9053
Dy3Sb4Au3-mp-984350,I-43d,0.7992,10.6125,0.5673
GaH3NF3-mp-643759,Aem2,0.7982,3.2101,5.317
Li3FePO5-mp-765579,Pna2_1,0.7965,2.8483,2.9765
Na3SbSe4-mp-8703,I-43m,0.796,3.8798,1.3012
LiTaWO6-mp-768074,P4_122,0.7959,5.3667,3.2939
Ho3CuSnS7-mp-554553,P6_3,0.7957,5.8682,1.595
BaCu(SeO3)2-mp-620033,Pmn2_1,0.7956,4.557,0.4388
BaBePO4F-mp-754604,Cc,0.7946,4.1873,6.0531
Na3SrPCO7-mp-554145,P2_1,0.7945,2.9206,4.0693
NaNiIO6-mp-545399,P312,0.7944,4.4053,1.7056
Tl3AsS3-mp-9791,R3m,0.7922,6.3782,1.523
LiTiV2O6-mp-849731,Cm,0.7889,3.7639,1.3877
Li2B4O7-mp-4779,I4_1cd,0.7885,2.2628,5.668
Cu4SnP10-mp-34126,R3m,0.7878,4.1303,0.3672
KNb(AgSe2)2-mp-567177,Ama2,0.7869,4.3206,1.5675
Cu3PS4-mp-3934,Pmn2_1,0.7864,4.1536,1.3616
TaRhO4-mp-760402,I4_1md,0.7822,8.2803,1.0166
H6PbCNCl3-mp-1021464,Pm,0.7815,2.9557,2.8178
GaB3N4-mp-1019740,P-43m,0.7807,4.5188,3.7109
Li4CO4-mp-550320,C2,0.7776,2.1072,4.9148
Na4Sn(GeS3)2-mp-1221151,C2,0.7766,2.9534,1.8828
Na3ZnPCO7-mp-771264,P2_1,0.7765,3.0468,3.769
NaLi5N2-mp-569525,Pm,0.7753,1.3931,0.3468
Li4MnO2F3-mp-759014,Cm,0.7753,3.1044,1.2772
LiBeSb-mp-9575,P6_3mc,0.7725,4.4737,0.9076
GaSeBr7-mp-23376,Pc,0.7721,3.3358,2.1839
Na3AsH14SO10-mp-721287,P2_1,0.7704,1.9002,3.2541
Cd(BO2)2-mp-13335,P6_3,0.7696,5.1882,3.3481
Dy3CuSnSe7-mp-510539,P6_3,0.7695,6.8775,1.1285
K2NaMo(OF)3-mp-706271,P4_2nm,0.7682,3.1859,3.0489
SrAlGeH-mp-980057,P3m1,0.768,3.9933,0.6964
SrMgH4-mp-643009,Cmc2_1,0.768,2.562,2.8881
LiCaPO4-mp-16804,P31c,0.7665,2.7644,5.1801
Fe2OF3-mp-758397,Amm2,0.7644,4.2279,1.7041
Mg(SbO2)4-mvc-2858,Cm,0.7638,4.3328,2.1268
Cs5Te3H4NCl18-mp-682548,P3m1,0.7637,3.133,2.6624
Pr5AgS8-mp-34486,I-4,0.7629,5.4966,1.6995
Li4CoSn3(PO4)4-mp-758057,Pm,0.7628,3.8018,1.9046
Te2MoWSeS-mp-1029945,P3m1,0.7627,5.5421,0.5206
Sr(ErS2)2-mp-38728,I-42d,0.7622,5.978,2.2746
Li5VCr3O8-mp-760333,P6_3mc,0.76,3.9667,1.2614
Br2O-mp-28460,Pna2_1,0.7587,3.6414,1.4541
KCuTeO6-mp-1147551,P312,0.7578,3.8699,0.8069
HCN-mp-644385,I4mm,0.7575,0.9683,6.8735
CsTiNb(O2F)2-mp-684745,C2,0.7567,4.2156,2.434
Li4V3SiO10-mp-761711,P1,0.7566,2.4969,1.4542
ScHO2-mp-625150,Cmc2_1,0.7559,2.9941,4.4261
SiH8(NF3)2-mp-759722,P6_3mc,0.7543,2.0133,6.4741
Li2H2SeO5-mp-24165,P2_1,0.7539,2.4398,4.0214
La3SiAgS7-mp-17719,P6_3,0.7538,4.6368,2.0024
Ca5B3O9F-mp-6632,Cm,0.7528,2.8145,4.2368
Te2SO7-mp-557480,Pmn2_1,0.7521,4.3406,2.8813
Li7NbO6-mp-37399,R3,0.7521,2.9377,3.5111
MoSe2-mp-7581,R3m,0.7495,5.9699,1.4809
Be4Si2H2O9-mp-707304,Cmc2_1,0.7492,2.5373,5.7686
Ba2InGaO5-mp-1106089,Ima2,0.7487,6.0758,1.5619
KBrO3-mp-22958,R3m,0.7483,3.0091,4.0763
CaCr2O4-mp-1301869,R3m,0.7479,3.919,2.5239
Mg2Mn3O8-mp-756696,R3m,0.7477,3.876,1.125
Li6I3N-mp-675488,Cm,0.7473,3.3064,2.3628
Cs2GeB4O9-mp-1226455,C2,0.745,3.5908,4.2749
Zn2SbN3-mp-1029334,Cmc2_1,0.7446,6.0801,0.1901
KV(CuS2)2-mp-6376,Ama2,0.7442,3.1637,1.1553
NaBi3(IO2)2-mp-1220823,Amm2,0.743,7.302,1.8963
Ca2CdP2-mp-1078908,Cmc2_1,0.7425,3.5109,1.2927
FeCo3(PO4)4-mp-771952,Pm,0.7425,3.622,0.6044
LiFe(Si2O5)2-mp-765958,Pnc2,0.742,2.7978,3.0528
GaBN2-mp-1007823,P-4m2,0.7397,5.2694,3.4766
Li2MnSiO4-mp-752844,I-42m,0.7387,3.0639,2.7388
TbAgTe2-mp-3551,P-42_1m,0.7379,7.1623,1.3156
PtF4-mp-8943,Fdd2,0.7357,6.56,1.2926
ZnMo2O7-mvc-7386,P2_1,0.7339,3.1704,3.702
FeSb3(PO4)4-mp-755192,Pm,0.7329,3.7662,1.3915
Na3Ti2P2O10F-mp-41191,Fmm2,0.7324,2.9679,3.2016
LiZnAs-mp-9124,F-43m,0.7323,4.5778,0.5518
Te2MoW3(SeS2)2-mp-1028668,P3m1,0.7292,5.529,0.0154
MoS2-mp-1434,R3m,0.7291,4.2427,1.5776
NaAg(NO2)2-mp-554048,F222,0.7276,2.9895,2.1173
Ge2N2O-mp-779457,P1,0.7271,4.5951,1.7533
La3CuSiS7-mp-504650,P6_3,0.7263,4.4701,1.8388
Mn2OF3-mp-763007,Amm2,0.7262,4.0226,0.0984
H3ClO5-mp-625175,Pna2_1,0.7261,1.9054,5.4045
Li3NbOF6-mp-769384,P2_12_12_1,0.7244,3.4375,4.9346
Mg(SbO2)2-mvc-6654,P1,0.7231,4.7215,1.6484
Ca2PI-mp-635393,P1,0.7229,3.1982,1.6134
Na4SnTe4-mp-28108,P2_12_12_1,0.7226,3.9964,0.9417
Si3NiP4-mp-8311,I-42m,0.7225,3.1383,0.3369
Li2Mn2Si2O7-mp-867645,Ama2,0.7214,3.2967,2.8694
SrH4O3-mp-626750,P1,0.7174,2.7462,4.3998
BeH4NF3-mp-723049,P2_12_12_1,0.7169,1.5203,6.4393
KLaSiS4-mp-861938,P2_1,0.7169,2.9578,2.8686
Cd(HO)2-mp-625094,P1,0.7163,4.6348,1.7067
BaNa4O3-mp-756084,Cc,0.7155,3.087,1.583
Rb2V3O8-mp-510519,P4bm,0.715,3.1554,2.093
DyAgTe2-mp-4024,P-42_1m,0.7133,7.277,1.3114
SO2-mp-27726,Aea2,0.7129,1.4004,3.2037
Ca2B5H2ClO10-mp-24595,P1,0.7112,2.5867,5.025
Lu3AlO6-mp-768573,Cmc2_1,0.7111,8.667,4.215
Li2CrO4-mp-756967,Pmn2_1,0.7106,2.3836,3.0674
LiIO3-mp-22994,Pna2_1,0.7105,3.979,3.6474
MnH8(NF3)2-mp-759690,P6_3mc,0.708,2.3302,3.3135
Ag3SI-mp-675879,P2_1,0.708,6.48,0.277
Cs2Al2As2O7-mp-554206,Imm2,0.7079,3.7782,3.6739
ThNiSn-mp-22786,F-43m,0.7072,9.5326,0.3533
Fe4O3F5-mp-753256,Amm2,0.7071,4.2605,1.6712
LiGaAs2O7-mp-545346,C2,0.7068,4.3089,2.5453
Ba3NbGa3(SiO7)2-mp-12881,P321,0.706,4.8294,3.3008
LiSn(PO3)3-mp-684503,P2_12_12_1,0.7058,3.3189,4.2059
Li5Mn(SiO4)2-mp-867686,C2,0.7057,2.5893,0.5468
AlGaO3-mp-772898,Pna2_1,0.7047,4.8159,3.2132
Te7As5I-mp-541032,Cm,0.7043,5.6238,0.5563
LiMn(PO3)3-mp-759181,P2_12_12_1,0.703,3.0409,4.59
LiZnSb-mp-9919,P6_3mc,0.7027,5.159,0.415
PdF4-mp-13868,Fdd2,0.7022,4.4734,0.7857
Li2CuSbO5-mp-753557,P1,0.7018,4.5958,0.3511
NaH9O5-mp-626554,P1,0.7005,1.3596,4.2012
Mg2B24C-mp-568556,P-4n2,0.7004,2.5984,2.6298
Hg2TeO3-mp-29510,Pma2,0.6999,7.0965,2.272
ZnSi(AgO2)2-mp-9359,Pc,0.6982,5.7046,0.6183
Ca3ZnGe5O14-mp-1019566,C2,0.6977,4.3859,2.4914
Rb2CoCl4-mp-571242,Pna2_1,0.6971,2.7547,0.7314
BaNb3NO7-mp-776448,Cm,0.6969,4.776,0.8223
LuHO2-mp-625367,P2_1,0.6964,8.3151,4.0973
Ca5NbN5-mp-675101,Cm,0.6956,3.2867,0.7195
SrAlSiH-mp-570485,P3m1,0.6956,3.1024,0.6205
BaMgTe2O7-mp-865532,Ama2,0.6952,5.4281,1.8971
Tl4SiS4-mp-8479,Cc,0.6942,5.9518,2.0501
Li5SbS4-mp-756427,Cmc2_1,0.6926,2.5183,1.3595
Cr3Co(PO4)4-mp-774666,Pm,0.6918,3.6167,0.6914
LiZnP-mp-10182,F-43m,0.6905,3.5921,1.3612
SbO2-mp-230,Pna2_1,0.6903,6.2812,1.9048
TaZn2N3-mp-1029387,Cmc2_1,0.6896,7.5103,2.3585
NbZn2N3-mp-1029422,Cmc2_1,0.6872,5.635,1.9319
Na8TiO6-mp-761219,Pna2_1,0.687,2.4557,2.0926
HoAgTe2-mp-12904,P-42_1m,0.6869,7.371,1.3134
Cd3PI3-mp-1226891,Pm,0.6869,4.7183,1.2987
Lu2WO6-mp-768502,P2_12_12_1,0.6859,9.0783,3.7738
ZrCoBi-mp-31451,F-43m,0.6853,9.8326,1.0123
NdHO2-mp-625359,P2_1,0.6852,5.8108,4.1681
Li2TiTeO6-mp-756117,Pnn2,0.684,4.3487,2.3234
LiCaAs-mp-961684,F-43m,0.6827,2.7152,1.8116
ScCuS2-mp-6980,P3m1,0.6822,3.9114,0.9184
CsH3O2-mp-626417,Amm2,0.6821,3.4931,4.1021
Li2CuPO4-mp-27047,Pmn2_1,0.6817,3.4104,1.4878
K3SbS4-mp-9911,I-43m,0.6799,2.5017,2.4089
SrAl2O4-mp-36775,P6_122,0.6796,3.4588,3.9619
Al4CO4-mp-13703,Cmc2_1,0.679,2.6691,3.8285
YAgTe2-mp-12903,P-42_1m,0.6786,6.2274,1.3115
TiSiPt-mp-961706,F-43m,0.6773,8.7677,0.9701
Ba2In2O5-mp-20546,Ima2,0.6763,6.0796,1.0524
BN-mp-344,Cc,0.6747,2.5427,3.5021
NaTeH6O6F-mp-633158,R3,0.6746,3.1126,3.5824
NaGaTe2-mp-1094098,I-42d,0.6741,4.1209,1.8646
Zr3N2O3-mp-755132,Cm,0.674,4.8987,2.6982
Zn3PBr3-mp-1215629,Pm,0.6735,4.0228,1.6198
CsGeI3-mp-28377,R3m,0.6731,4.2953,2.1992
FeOF-mp-754389,R3,0.6729,4.0698,1.7999
Na2Zn(SnS3)2-mp-1190487,Fdd2,0.6725,3.0623,1.7283
LiFeSiO4-mp-758574,Pna2_1,0.6719,2.8754,2.963
Li2P2WO8-mp-757954,Pc,0.6716,4.2289,2.7927
Ge2N2O-mp-4187,Cmc2_1,0.6712,4.4149,2.639
LiAgF2-mp-753277,Pmn2_1,0.6707,4.6334,1.2161
BaNaH6Ir-mp-1182061,F-43m,0.6705,4.9329,3.3846
Sm3NbO7-mp-756591,C222_1,0.67,6.8386,2.5893
LiVOF3-mp-765230,P2_1,0.669,2.8792,1.5185
Li7SbO6-mp-27453,R3,0.6686,3.2839,3.5037
Li2SbS2-mp-776356,P2_12_12_1,0.6678,3.1886,1.5415
Li5Mn5O9F-mp-753735,P1,0.6676,3.9794,0.7271
H2O-mp-32959,P4_2nm,0.6673,1.5183,5.6162
TlClO3-mp-29738,R3m,0.6663,5.0721,4.4344
LiFeSiO4-mp-758602,Pna2_1,0.6655,2.8716,2.3802
KLaSiSe4-mp-861606,P2_1,0.6653,4.0706,2.2081
KAsSe2-mp-14659,Cc,0.6653,3.2914,1.7276
Hf3Ni3Sb4-mp-1212441,I-43d,0.6651,10.6185,0.5807
Li2Ge2O5-mp-7998,Ccc2,0.6648,3.3653,3.2952
Li2CrSiO4-mp-762870,Pc,0.6644,2.8334,1.6394
CaMgNiH4-mp-24052,P2_13,0.6643,2.7803,1.9466
K2Zn(PO3)4-mp-1019791,Cc,0.6643,2.7987,4.8581
LiMnP2O7-mp-540188,P1,0.6638,2.9413,1.1465
CsNb(BO3)2-mp-6257,Pmn2_1,0.6631,3.6798,3.3163
ErAgTe2-mp-12902,P-42_1m,0.6625,7.4578,1.3114
SrLaCrO4-mp-1218189,I4mm,0.6616,5.9236,2.2736
Si2Mo-mp-8938,P6_222,0.6614,6.2042,0.2167
NaTiPCO7-mp-767556,P2_1,0.6609,2.3317,2.6858
Li3PO4-mp-13725,Pmn2_1,0.6597,2.3883,5.8384
BC2N-mp-1008523,P-4m2,0.6578,3.3443,1.646
Tb2PbS4-mp-675645,I-42d,0.656,6.9737,2.0811
ZnO-mp-1986,F-43m,0.6559,5.4464,0.6311
Na4MgO3-mp-754369,Cc,0.6552,2.1893,1.4981
CaFe2(SiO3)4-mp-1171010,C2,0.6549,3.4049,1.9181
Tm2WO6-mp-773512,P2_12_12_1,0.6546,8.7848,3.769
LiCl-mp-1185319,P6_3mc,0.6544,1.6601,0.0015
Li2CuPO4-mp-779539,P1,0.6541,3.3625,1.2147
CoPO4-mp-849770,Cc,0.6528,2.6319,1.0727
GaAgSnSe4-mp-1224848,I-4,0.6528,5.0831,1.2685
BN-mp-685145,Fmm2,0.6522,2.1554,3.9556
Na6PbO4-mp-27623,I-43m,0.6515,3.7673,1.3501
MgTlP(H6O5)2-mp-554894,Pmn2_1,0.6512,2.9724,4.5209
NaPH4SO8-mp-757203,P2_1,0.6511,2.2013,5.6859
Y(PO3)3-mp-1020797,Cc,0.6509,2.6291,5.6268
Tm2MgS4-mp-34116,I-42d,0.6505,5.872,2.3789
Sr(YS2)2-mp-35746,I-42d,0.6476,4.1974,2.1883
Hg2P2S7-mp-27171,C2,0.6476,4.1506,1.8397
NaBi3(BrO2)2-mp-1220821,Amm2,0.6475,7.1359,2.2883
KZrPCO7-mp-757002,P2_1,0.6471,2.3953,3.8936
GaAsO4-mp-3996,P3_121,0.6466,3.9439,3.0868
Na3VH6O7-mp-643263,R3,0.6463,2.3876,4.0436
Al2O3-mp-754401,Cmc2_1,0.6461,2.5288,4.2347
Na2ZrNi(P2O7)2-mp-18984,P1,0.6446,3.2688,3.6313
Na3MoN3-mp-541291,Cc,0.6441,3.1374,1.4285
Li3VS4-mp-768440,P-42_1c,0.6434,2.2295,1.3339
LiV5O7F-mp-753402,R3m,0.6432,4.099,0.7977
YbBeF4-mp-657176,P1,0.6431,5.1814,6.5464
SrGaSiH-mp-979137,P3m1,0.643,4.0917,0.4169
LiCoSiO4-mp-778061,Pna2_1,0.6404,3.0286,1.3599
Li5(FeO2)4-mp-754802,R3m,0.6396,4.0553,1.1425
Li2MnCr3O8-mp-775196,R3m,0.6389,3.957,0.2757
Na3Ca3AlAs4-mp-15572,P6_3mc,0.6388,3.0466,0.9426
MnHO2-mp-626068,Pmn2_1,0.6385,4.1185,0.5128
LiCoO2-mp-753473,P6_3mc,0.6381,4.4083,0.8956
Li2Fe2Si2O7-mp-757107,Ama2,0.6366,3.4032,3.1306
LiFeF4-mp-777553,P3_1,0.6359,3.341,3.3563
Mg3Si2H4O9-mp-23764,P31m,0.6357,2.4962,4.2571
CsGeCl3-mp-22988,R3m,0.6347,3.0822,2.848
RbBrO3-mp-28872,R3m,0.6347,3.6069,4.1801
Re2PbO8-mp-29305,P31m,0.6344,6.1173,3.7671
Li6AsS5I-mp-1222482,P1,0.6338,2.4224,1.3271
Li7FeO6-mp-752471,R3,0.633,2.6752,0.3228
Al2O3-mp-752826,P1,0.6318,3.3744,4.0095
AgNO3-mp-552185,R3c,0.6311,4.1413,1.8677
AlFe(WO4)2-mp-1287668,P1,0.6304,6.6137,2.4034
ScAgS2-mp-1094066,R3m,0.6299,4.2476,1.2832
CsIO3-mp-28295,Pmn2_1,0.6287,4.6603,3.0624
Li4MnSb2WO12-mp-752920,P1,0.6281,5.6029,1.1049
BAsO4-mp-3277,I-4,0.6277,3.4378,4.4406
AlAgSnSe4-mp-1228963,I-4,0.627,4.7684,1.1072
K2PbO3-mp-22756,Cmc2_1,0.6263,4.7265,1.5348
CaGaGeH-mp-1018093,P3m1,0.6244,4.2501,0.4956
Nd3Al3Si3(NO6)2-mp-695170,C2,0.6242,4.9394,4.005
Ag3PS4-mp-12459,Pmn2_1,0.6239,4.5151,0.9998
Ca2VBiO6-mp-554381,Cmc2_1,0.6237,4.7431,3.0714
Na2Ti2O5-mp-773663,Pca2_1,0.6222,2.697,3.8807
Ce2Dy2O7-mp-755380,P-4m2,0.6221,7.4032,1.9072
Na2BeSiO4-mp-560829,Pca2_1,0.6216,2.7631,2.9149
TaGaO4-mp-33508,Pna2_1,0.6214,7.8978,3.1553
NaYF4-mp-37267,P-6,0.6212,4.1268,7.3763
InAgGeSe4-mp-1223893,I-4,0.6209,5.2605,0.857
Y2WO6-mp-30539,P2_12_12_1,0.6205,6.241,3.7864
Yb(NdS2)2-mp-20797,C222_1,0.6203,4.9204,1.6679
Y3AlO6-mp-754979,Cmc2_1,0.6201,4.8257,4.3752
Li2VGa3O8-mp-755571,P1,0.6201,3.5195,2.2375
BaCO3-mp-4559,R3m,0.6196,4.125,4.4395
GaN-mp-804,P6_3mc,0.6195,5.9237,1.7376
LiCuPO4-mp-26477,I-4,0.6185,3.2511,0.1438
Sr2SnS4-mp-30294,Ama2,0.6185,3.5977,2.8168
La2Th2O7-mp-753156,P-4m2,0.6184,7.7646,2.9437
IO2F-mp-29946,P2_12_12_1,0.618,4.561,2.9217
Li7RuO6-mp-37839,P1,0.6151,3.2076,0.6366
HfSO-mp-7787,P2_13,0.6145,8.1315,2.8696
Er2WO6-mp-17426,P2_12_12_1,0.614,8.6173,3.8157
Li2CuPO4-mp-754406,P1,0.6121,3.38,1.1829
CsHO-mp-625136,Cmc2_1,0.6107,4.0372,3.4373
MgTe(H4O3)3-mp-23888,R3,0.6107,2.3957,4.4646
Cs2MnV2(ClO3)2-mp-573229,Cmm2,0.6105,3.2978,2.1453
Li2CuPO4-mp-27063,Pc,0.6089,3.3838,1.4077
Se-mp-14,P3_121,0.6087,4.4034,1.0119
TlCd(NO2)3-mp-11018,R3,0.6081,4.5527,2.176
LiNbTe2WO12-mp-752611,P1,0.607,5.796,1.8273
SeO2-mp-560882,Pmc2_1,0.6069,3.8183,3.4647
NaY(SeO3)2-mp-559053,Pna2_1,0.6062,3.9304,4.1813
BaCu2SnSe4-mp-12364,Ama2,0.6057,5.3,0.459
Sr4Al6SO12-mp-8877,I-43m,0.6051,2.9947,3.343
KSb4F13-mp-27211,I-4,0.605,4.1674,4.7279
Li2SnSe3-mp-1095291,Cc,0.604,3.8482,1.49
Li2VPO4F-mp-25403,P1,0.604,3.0165,3.2463
SnO-mp-545552,Pmn2_1,0.6022,5.5664,1.4791
SeOF2-mp-27367,Pca2_1,0.6002,3.0746,4.0951
Na3PSe4-mp-1078419,I-43m,0.5999,3.436,1.522
Li2VGa3O8-mp-758949,P1,0.5998,3.5074,2.5171
Li5Cu(PO4)2-mp-755821,Pm,0.5995,2.9152,1.8951
H6S(NO2)2-mp-23991,P2_12_12_1,0.5979,1.9718,5.4368
VCd2BiO6-mp-1207861,Cmc2_1,0.5975,6.5481,2.2433
K2NaTiOF5-mp-42190,I4mm,0.5972,2.8401,3.964
Li8SeN2-mp-973793,I4_1md,0.5971,2.145,2.0446
Mg3Si2H4O9-mp-24097,P6_3cm,0.5965,2.4875,4.2475
SiO2-mp-556588,P1,0.5952,2.975,4.2384
LiAlSiH2O5-mp-697020,Pna2_1,0.5952,2.2166,4.6157
LiAlGe-mp-5920,F-43m,0.5944,3.2459,0.0869
Li2VPO6-mp-616566,Pna2_1,0.5942,2.9806,3.1401
Tl2MoO4-mp-18938,C2,0.5942,6.3291,3.4625
ZnGeN2-mp-2979,Pna2_1,0.594,5.8688,1.6966
Li2Ti(TeO4)3-mp-756432,P2,0.5933,4.783,1.5033
TaTl3(SeS)2-mp-1217825,Fmm2,0.5929,6.6682,2.2137
H7BrO3-mp-625560,Cc,0.5921,1.9957,4.148
